,n_obs,mean_ic,icir,t_stat,mean_rank_ic,ls_mean,ls_t,p_value
mom_5d,26.0,-0.04140380019337587,-0.314824543693604,-1.605296491651631,-0.06223311968346992,-0.009147590497567764,-1.8060734633963953,0.10842857090249836
mom_20d,26.0,-0.0732750632116387,-0.6005515277043791,-3.062223958682587,-0.1295924535177152,-0.014321286312498988,-2.9733394036377128,0.002196990077043326
mom_60d,26.0,-0.15167113793468093,-1.3393957394488025,-6.829605011872481,-0.2071432359484586,-0.032527294269056026,-7.699863487246618,8.5149665096651e-12
mom_120d,26.0,-0.20082568386424987,-1.639479410488597,-8.359737506214952,-0.25517765262689307,-0.04313539589250162,-8.839086230059396,0.0
neg_mom_5d,26.0,0.04140380019337587,0.314824543693604,1.605296491651631,0.06223311968346992,0.009200028441983515,1.832183657340888,0.10842857090249836
vol_20d,26.0,-0.13960251858993655,-1.2220041433971751,-6.231022972873431,-0.1527232679295771,-0.03016000252148628,-6.5531662125502095,4.6339909687276304e-10
vol_60d,26.0,-0.15004853065331913,-1.1747860700232322,-5.990257095345441,-0.17310575697459912,-0.031679825622041816,-6.204437792991865,2.095095652521195e-09
log_mktcap,26.0,0.024137846717940017,0.21391287082436394,1.0907459025420843,0.041244050067579474,0.0039048696290721165,0.7576676528794555,0.2753847064145454
ep,26.0,0.11598803621573331,1.4814310936739394,7.553846054686517,0.15564638823420512,0.02729190434636974,7.674041354141601,4.218847493575595e-14
amihud_20d,26.0,-0.04608397507062101,-0.32920782747470057,-1.6786371363209849,-0.02184671346639553,-0.0016132658465526088,-0.2834796012006716,0.09322278438227594
log_volume_20d,26.0,-0.08048420392481977,-0.6861810474936567,-3.498850551027693,-0.1029280879548259,-0.015637250017703823,-2.737201847517992,0.0004672684070590183
noise_a,26.0,-0.004405668479351606,-0.05235226613948485,-0.26694522662603604,0.005510799361066743,0.003191529651461216,0.8661365334379885,0.7895113338985671
noise_b,26.0,0.03448522762755048,0.37212104994502504,1.8974524950883178,0.027990992964254995,0.006764672213533722,1.5057778251675658,0.057768242878243115
